Tid ;FT0010 Flow : (M³/t);;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:57;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:58;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 06:59;66;;;
19-04-2018 07:00;66;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:00;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:01;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:02;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:03;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:04;65.8;;;
19-04-2018 07:05;65.8;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:05;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:06;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:07;65;;;
19-04-2018 07:08;65;;;
19-04-2018 07:08;65;;;
19-04-2018 07:08;65;;;
19-04-2018 07:08;65;;;
19-04-2018 07:08;65;;;
19-04-2018 07:08;65;;;
19-04-2018 07:08;65;;;
19-04-2018 07:08;65;;;
